0,1,2,3,4,5,6,7,8,9,10
sausage,pastry,bottled beer,UHT-milk,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
citrus fruit,shopping bags,shopping bags,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
yogurt,root vegetables,waffles,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
whole milk,domestic eggs,bottled beer,bottled beer,,,,,,,
sausage,long life bakery product,,,,,,,,,
other vegetables,berries,candy,sliced cheese,,,,,,,
bottled water,domestic eggs,frozen meals,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
sausage,detergent,hygiene articles,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
sausage,zwieback,jam,,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
yogurt,root vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
photo/film,root vegetables,,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
rolls/buns,grapes,potato products,,,,,,,,
root vegetables,baking powder,,,,,,,,,
soda,napkins,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
white wine,cat food,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
beverages,white wine,frozen potato products,,,,,,,,
zwieback,salty snack,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
canned fish,bottled water,rolls/buns,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
yogurt,baking powder,,,,,,,,,
liquor,yogurt,napkins,,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
berries,other vegetables,,,,,,,,,
cake bar,butter,,,,,,,,,
sausage,canned beer,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
yogurt,whole milk,,,,,,,,,
hard cheese,white wine,,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
yogurt,salty snack,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
whole milk,whole milk,ham,pip fruit,hard cheese,frozen fish,shopping bags,pot plants,,,
rolls/buns,yogurt,,,,,,,,,
beef,yogurt,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
citrus fruit,onions,,,,,,,,,
beverages,bottled beer,domestic eggs,chocolate,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
bottled beer,chocolate,,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
pork,rum,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,pork,soda,salt,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
meat,citrus fruit,,,,,,,,,
hard cheese,waffles,misc. beverages,,,,,,,,
liquor,sweet spreads,,,,,,,,,
frozen potato products,soda,,,,,,,,,
rolls/buns,cream cheese ,yogurt,,,,,,,,
dessert,yogurt,,,,,,,,,
sausage,other vegetables,,,,,,,,,
citrus fruit,rolls/buns,whole milk,brown bread,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
canned beer,rolls/buns,,,,,,,,,
tropical fruit,sausage,hamburger meat,zwieback,specialty cheese,domestic eggs,,,,,
root vegetables,specialty cheese,curd,,,,,,,,
rolls/buns,waffles,,,,,,,,,
whole milk,coffee,,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
sausage,beverages,,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
rolls/buns,curd,,,,,,,,,
ham,curd,,,,,,,,,
dishes,chewing gum,,,,,,,,,
sausage,canned fish,,,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
newspapers,sliced cheese,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
house keeping products,yogurt,,,,,,,,,
ham,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pet care,mustard,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
frozen vegetables,misc. beverages,,,,,,,,,
root vegetables,pastry,,,,,,,,,
ham,processed cheese,,,,,,,,,
other vegetables,soda,soda,,,,,,,,
chicken,pip fruit,curd,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
packaged fruit/vegetables,pastry,,,,,,,,,
yogurt,butter,whole milk,,,,,,,,
margarine,bottled water,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
frozen potato products,whole milk,,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
beef,butter,yogurt,,,,,,,,
frozen meals,beef,,,,,,,,,
sausage,other vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
butter,ice cream,,,,,,,,,
soda,chocolate,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
specialty bar,soda,,,,,,,,,
frozen meals,frozen dessert,,,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,herbs,cereals,,,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
other vegetables,curd,,,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
onions,canned fish,,,,,,,,,
other vegetables,butter,,,,,,,,,
shopping bags,coffee,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pastry,brandy,soda,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
chicken,salty snack,coffee,,,,,,,,
white wine,rolls/buns,,,,,,,,,
tropical fruit,salt,,,,,,,,,
rolls/buns,pickled vegetables,chocolate,whole milk,,,,,,,
sausage,canned beer,,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
canned beer,sliced cheese,,,,,,,,,
bottled beer,hamburger meat,,,,,,,,,
cat food,soda,,,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
chocolate,pickled vegetables,bottled water,,,,,,,,
berries,sliced cheese,,,,,,,,,
artif. sweetener,bottled water,butter milk,butter,soda,,,,,,
frozen meals,napkins,,,,,,,,,
soda,bottled water,ice cream,,,,,,,,
newspapers,root vegetables,margarine,,,,,,,,
beef,citrus fruit,pastry,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
beef,pasta,,,,,,,,,
other vegetables,bottled water,shopping bags,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pork,canned beer,,,,,,,,,
berries,semi-finished bread,,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
sausage,spread cheese,chocolate,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
UHT-milk,curd,chocolate,,,,,,,,
other vegetables,sausage,onions,whole milk,chocolate,,,,,,
sausage,bottled water,,,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
pork,domestic eggs,,,,,,,,,
dog food,processed cheese,,,,,,,,,
pork,bottled water,,,,,,,,,
whole milk,softener,sliced cheese,,,,,,,,
ham,pastry,,,,,,,,,
yogurt,baking powder,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
bottled beer,canned fish,fruit/vegetable juice,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
whole milk,onions,cream cheese ,,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
seasonal products,oil,liquor (appetizer),cookware,,,,,,,
ham,whole milk,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
oil,herbs,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
beef,frozen meals,white bread,,,,,,,,
canned beer,pip fruit,frozen vegetables,dessert,canned vegetables,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
sausage,shopping bags,,,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
canned beer,domestic eggs,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
chocolate,curd cheese,,,,,,,,,
pip fruit,soda,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
rolls/buns,sugar,butter,,,,,,,,
root vegetables,rolls/buns,Instant food products,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
citrus fruit,flour,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
citrus fruit,sausage,rolls/buns,frozen potato products,,,,,,,
rolls/buns,hygiene articles,fruit/vegetable juice,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
pork,UHT-milk,frozen fish,,,,,,,,
bottled beer,other vegetables,salty snack,,,,,,,,
chocolate,margarine,,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
other vegetables,pastry,,,,,,,,,
whole milk,pastry,,,,,,,,,
butter,brown bread,,,,,,,,,
other vegetables,soda,,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
bottled beer,whole milk,,,,,,,,,
ham,sausage,curd,other vegetables,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
fish,tropical fruit,red/blush wine,cream cheese ,,,,,,,
citrus fruit,flour,,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
beef,whole milk,,,,,,,,,
canned beer,yogurt,,,,,,,,,
yogurt,brown bread,,,,,,,,,
dessert,processed cheese,UHT-milk,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
chocolate,pastry,butter,,,,,,,,
rolls/buns,whole milk,other vegetables,,,,,,,,
pet care,photo/film,,,,,,,,,
pastry,processed cheese,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
soda,whisky,,,,,,,,,
liquor (appetizer),hygiene articles,,,,,,,,,
sugar,canned vegetables,,,,,,,,,
pet care,bottled water,,,,,,,,,
pip fruit,bottled beer,margarine,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
chicken,pork,brandy,,,,,,,,
whole milk,whole milk,whole milk,yogurt,root vegetables,white bread,shopping bags,other vegetables,,,
finished products,pip fruit,curd,pork,curd,whipped/sour cream,whole milk,,,,
sausage,yogurt,whole milk,,,,,,,,
pasta,canned beer,,,,,,,,,
tropical fruit,white wine,oil,,,,,,,,
root vegetables,napkins,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
soda,ice cream,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
chocolate,mustard,white bread,,,,,,,,
soda,rolls/buns,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
yogurt,napkins,,,,,,,,,
dessert,photo/film,,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
cream cheese ,yogurt,,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
berries,other vegetables,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
ham,whole milk,,,,,,,,,
whole milk,pet care,herbs,soda,cat food,whole milk,,,,,
yogurt,bottled beer,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
whole milk,soda,tea,,,,,,,,
dessert,domestic eggs,,,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
zwieback,sausage,whole milk,soda,canned beer,hygiene articles,,,,,
meat,ice cream,cleaner,,,,,,,,
canned beer,cake bar,,,,,,,,,
whole milk,soda,,,,,,,,,
ice cream,fruit/vegetable juice,cereals,,,,,,,,
pork,rolls/buns,,,,,,,,,
soda,sugar,,,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
dessert,other vegetables,whipped/sour cream,,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
yogurt,frozen dessert,,,,,,,,,
yogurt,sausage,whipped/sour cream,onions,,,,,,,
citrus fruit,chicken,,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
whole milk,house keeping products,,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
sausage,whole milk,,,,,,,,,
berries,frozen meals,,,,,,,,,
curd,specialty bar,,,,,,,,,
bottled beer,soda,,,,,,,,,
root vegetables,rice,,,,,,,,,
frozen fish,mustard,,,,,,,,,
rolls/buns,cream cheese ,margarine,,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
frankfurter,ice cream,specialty cheese,coffee,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
pork,packaged fruit/vegetables,pastry,rolls/buns,,,,,,,
curd,brown bread,,,,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
sausage,UHT-milk,candles,chewing gum,bottled beer,artif. sweetener,butter,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
oil,margarine,,,,,,,,,
brown bread,skin care,whipped/sour cream,,,,,,,,
pot plants,shopping bags,coffee,,,,,,,,
sausage,curd,salty snack,,,,,,,,
semi-finished bread,napkins,,,,,,,,,
oil,canned beer,,,,,,,,,
soda,rice,,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
bottled water,bottled water,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
pastry,root vegetables,,,,,,,,,
whole milk,cat food,bottled beer,,,,,,,,
soda,whole milk,,,,,,,,,
meat,rum,,,,,,,,,
bottled water,whole milk,,,,,,,,,
yogurt,butter,,,,,,,,,
whole milk,pastry,,,,,,,,,
sauces,shopping bags,,,,,,,,,
meat,rolls/buns,frozen potato products,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
sausage,sauces,,,,,,,,,
other vegetables,dog food,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,butter,,,,,,,,,
sausage,chicken,,,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
whole milk,bottled water,waffles,,,,,,,,
chicken,waffles,,,,,,,,,
onions,pip fruit,dog food,,,,,,,,
brown bread,butter milk,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
yogurt,soda,frozen vegetables,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
shopping bags,butter,,,,,,,,,
salty snack,other vegetables,yogurt,other vegetables,,,,,,,
ham,bottled beer,,,,,,,,,
tropical fruit,waffles,bottled beer,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
pip fruit,yogurt,whole milk,yogurt,bottled beer,newspapers,,,,,
meat,beverages,,,,,,,,,
pork,cream cheese ,yogurt,,,,,,,,
pastry,root vegetables,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
root vegetables,root vegetables,white wine,whipped/sour cream,abrasive cleaner,soda,,,,,
dishes,yogurt,,,,,,,,,
chicken,curd,,,,,,,,,
waffles,margarine,,,,,,,,,
beef,berries,,,,,,,,,
tropical fruit,soda,,,,,,,,,
newspapers,hard cheese,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
tropical fruit,bottled beer,domestic eggs,rolls/buns,long life bakery product,other vegetables,skin care,,,,
citrus fruit,other vegetables,,,,,,,,,
chicken,organic products,,,,,,,,,
salt,tropical fruit,newspapers,,,,,,,,
root vegetables,newspapers,,,,,,,,,
sugar,butter milk,photo/film,,,,,,,,
whole milk,domestic eggs,yogurt,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
beverages,whole milk,,,,,,,,,
beverages,waffles,,,,,,,,,
pastry,white bread,,,,,,,,,
chicken,white bread,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
newspapers,bottled beer,,,,,,,,,
sausage,berries,pasta,,,,,,,,
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
specialty cheese,butter,,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
rolls/buns,onions,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,dessert,,,,,,,,,
other vegetables,butter,,,,,,,,,
specialty bar,soda,,,,,,,,,
sausage,berries,,,,,,,,,
misc. beverages,fruit/vegetable juice,,,,,,,,,
dish cleaner,whole milk,flower (seeds),flour,chewing gum,dog food,,,,,
butter milk,pip fruit,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
hygiene articles,pastry,bottled beer,,,,,,,,
chicken,whole milk,specialty bar,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
pip fruit,bottled water,,,,,,,,,
soda,root vegetables,,,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
root vegetables,shopping bags,,,,,,,,,
whole milk,sausage,pork,coffee,,,,,,,
chicken,whole milk,,,,,,,,,
butter milk,flour,,,,,,,,,
onions,sugar,mustard,rolls/buns,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
pastry,onions,,,,,,,,,
ham,brown bread,,,,,,,,,
chicken,soda,,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
other vegetables,bottled beer,rolls/buns,shopping bags,,,,,,,
onions,chocolate,,,,,,,,,
root vegetables,whole milk,meat,other vegetables,dog food,bottled water,domestic eggs,,,,
sugar,bottled water,,,,,,,,,
soda,yogurt,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
yogurt,brown bread,,,,,,,,,
whole milk,bottled water,,,,,,,,,
coffee,citrus fruit,,,,,,,,,
bottled water,chocolate,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
ham,domestic eggs,,,,,,,,,
brown bread,tropical fruit,rolls/buns,,,,,,,,
sugar,butter,curd,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
other vegetables,pot plants,yogurt,salty snack,,,,,,,
whole milk,ice cream,,,,,,,,,
soft cheese,berries,,,,,,,,,
bottled water,pork,salty snack,,,,,,,,
chicken,rolls/buns,,,,,,,,,
pork,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
turkey,cream cheese ,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled beer,newspapers,napkins,,,,,,,,
berries,newspapers,,,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
beef,butter milk,,,,,,,,,
mustard,fruit/vegetable juice,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
whole milk,bottled beer,UHT-milk,beef,pip fruit,yogurt,salty snack,,,,
hamburger meat,cleaner,,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,napkins,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
other vegetables,napkins,,,,,,,,,
whole milk,sausage,pet care,yogurt,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
other vegetables,waffles,butter,,,,,,,,
UHT-milk,domestic eggs,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
light bulbs,pastry,UHT-milk,baking powder,,,,,,,
citrus fruit,bottled beer,cat food,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
pork,other vegetables,,,,,,,,,
rolls/buns,oil,beverages,bottled water,,,,,,,
dishes,tropical fruit,,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
bottled beer,oil,,,,,,,,,
tropical fruit,canned beer,hygiene articles,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
chicken,curd,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
soda,candy,,,,,,,,,
turkey,yogurt,,,,,,,,,
bottled water,potato products,bottled water,,,,,,,,
butter,baking powder,brown bread,,,,,,,,
frankfurter,bottled water,,,,,,,,,
pastry,chicken,packaged fruit/vegetables,tropical fruit,packaged fruit/vegetables,pasta,photo/film,sugar,,,
male cosmetics,canned beer,,,,,,,,,
newspapers,coffee,,,,,,,,,
house keeping products,frozen vegetables,,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
sausage,onions,,,,,,,,,
other vegetables,tropical fruit,onions,cream cheese ,root vegetables,root vegetables,yogurt,,,,
brown bread,shopping bags,,,,,,,,,
meat,butter milk,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
pet care,cake bar,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
whole milk,onions,,,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
bottled water,whole milk,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
whole milk,citrus fruit,butter milk,specialty bar,,,,,,,
pork,specialty chocolate,,,,,,,,,
soft cheese,coffee,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
bottled water,yogurt,spices,fruit/vegetable juice,,,,,,,
beverages,sugar,,,,,,,,,
frozen meals,frozen vegetables,curd,,,,,,,,
frankfurter,cat food,,,,,,,,,
organic products,root vegetables,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
pip fruit,onions,domestic eggs,,,,,,,,
candy,bottled water,,,,,,,,,
whipped/sour cream,roll products ,,,,,,,,,
pork,tropical fruit,whole milk,chewing gum,,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
other vegetables,butter,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
cereals,bottled water,,,,,,,,,
sausage,detergent,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
pork,yogurt,,,,,,,,,
chocolate,whole milk,,,,,,,,,
oil,coffee,,,,,,,,,
ham,cake bar,whole milk,,,,,,,,
long life bakery product,long life bakery product,whipped/sour cream,soda,,,,,,,
whole milk,yogurt,newspapers,,,,,,,,
tropical fruit,pickled vegetables,bottled beer,,,,,,,,
white wine,rolls/buns,,,,,,,,,
beef,whole milk,chewing gum,,,,,,,,
root vegetables,whole milk,rolls/buns,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil,,,,,
frozen dessert,detergent,,,,,,,,,
beef,bottled water,,,,,,,,,
nuts/prunes,butter,soda,bottled beer,,,,,,,
canned fish,salty snack,,,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
canned beer,salt,,,,,,,,,
soda,chewing gum,,,,,,,,,
specialty chocolate,soda,curd,female sanitary products,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
sausage,chicken,,,,,,,,,
misc. beverages,spread cheese,,,,,,,,,
sparkling wine,softener,,,,,,,,,
brown bread,pastry,,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,pastry,cream cheese ,,,,,,,,
ice cream,grapes,,,,,,,,,
yogurt,chicken,bottled water,whole milk,flour,detergent,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
berries,UHT-milk,cream cheese ,,,,,,,,
whole milk,roll products ,rice,,,,,,,,
sausage,yogurt,,,,,,,,,
canned beer,coffee,,,,,,,,,
canned beer,yogurt,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
chicken,flower (seeds),onions,rolls/buns,,,,,,,
flour,pork,butter,shopping bags,hard cheese,,,,,,
whole milk,specialty cheese,,,,,,,,,
bottled water,pastry,specialty bar,herbs,,,,,,,
white wine,ice cream,,,,,,,,,
yogurt,margarine,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
salty snack,citrus fruit,yogurt,berries,,,,,,,
hard cheese,dessert,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
shopping bags,detergent,,,,,,,,,
chocolate,pip fruit,rolls/buns,other vegetables,frozen vegetables,,,,,,
liquor,brandy,,,,,,,,,
berries,specialty bar,,,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
shopping bags,curd,,,,,,,,,
other vegetables,root vegetables,bottled water,,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
whipped/sour cream,brown bread,sparkling wine,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
chicken,salty snack,,,,,,,,,
sausage,frozen vegetables,specialty vegetables,,,,,,,,
chicken,rolls/buns,,,,,,,,,
oil,male cosmetics,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
zwieback,butter,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
berries,dishes,,,,,,,,,
pork,bottled water,,,,,,,,,
sausage,root vegetables,soda,,,,,,,,
male cosmetics,baking powder,,,,,,,,,
pet care,photo/film,,,,,,,,,
sausage,curd,margarine,,,,,,,,
whole milk,sauces,,,,,,,,,
whole milk,rolls/buns,other vegetables,white bread,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
frankfurter,soda,,,,,,,,,
frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
onions,hamburger meat,whole milk,tropical fruit,pet care,root vegetables,yogurt,flour,,,
rolls/buns,soda,,,,,,,,,
salty snack,sugar,,,,,,,,,
candles,coffee,,,,,,,,,
chocolate,curd,salty snack,,,,,,,,
bottled water,frozen meals,,,,,,,,,
frankfurter,hair spray,,,,,,,,,
whole milk,white bread,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
whole milk,fruit/vegetable juice,shopping bags,shopping bags,,,,,,,
yogurt,specialty cheese,,,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
ready soups,baking powder,,,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
UHT-milk,pastry,,,,,,,,,
beef,other vegetables,,,,,,,,,
pastry,brown bread,,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
